id,mode,status,correctness,post_repair_correctness,lexical_reference_recall,post_repair_lexical_reference_recall,raw_citation_precision,raw_citation_faithfulness,raw_citation_recall,citation_precision,citation_faithfulness,citation_recall,evidence_citation_coverage,recall_at_k,answerable,raw_abstained,abstained,abstention_correct,post_repair_abstention_correct,citation_repair_triggered,tool_accuracy,agent_steps,tool_calls,tokens,latency_ms,reranker_latency_ms,retrieval_rounds,rewrite_attempts,rewrite_successes,rewrite_quality_gain,retrieval_context_tokens,estimated_cost_usd
q44,naive,completed,1.0,1.0,0.5,0.6153846153846154,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,True,True,0.0,0.0,True,1.0,5,1,686,930.4764730004536,0.0041380008042324334,1,0,0,0,232,0.0
q45,naive,completed,1.0,1.0,0.9433962264150944,0.9433962264150944,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1139,9217.274181000903,0.005435000275610946,1,0,0,0,254,0.0
q46,naive,completed,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,5,1,712,1822.2451510009705,0.005714000508305617,1,0,0,0,226,0.0
q47,naive,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,5,1,640,513.9531179993355,0.005689998943125829,1,0,0,0,206,0.0
q48,naive,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,5,1,671,483.2431839986384,0.005378000423661433,1,0,0,0,234,0.0
q49,naive,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,5,1,721,594.7943859991938,0.006137001037131995,1,0,0,0,247,0.0
q50,naive,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,5,1,1145,10137.36665900069,0.005006000719731674,1,0,0,0,227,0.0
q01,fixed_retrieval,completed,1.0,1.0,0.925,0.925,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,765,1577.7672419990267,0.012835002053179778,2,1,0,-0.1665,251,0.0
q02,fixed_retrieval,completed,0.0,1.0,0.0196078431372549,0.8627450980392157,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,773,2216.277949999494,0.01213999894389417,2,1,1,-0.1285,234,0.0
q03,fixed_retrieval,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,672,515.7856189998711,0.01357200017082505,2,1,1,-0.23299999999999998,244,0.0
q04,fixed_retrieval,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,876,4491.62793799951,0.013277998732519336,2,1,0,-0.17800000000000002,223,0.0
q05,fixed_retrieval,completed,1.0,1.0,0.95,0.925,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,824,2873.163835998639,0.011351998182362877,2,1,1,-0.2290000000000001,238,0.0
q06,fixed_retrieval,completed,1.0,1.0,1.0,0.9615384615384616,0.0,0.0,0.0,1.0,1.0,0.5,0.8333333333333334,0.5,True,False,True,1.0,0.0,True,1.0,8,6,708,990.7176439992327,0.009565997970639728,2,1,1,-0.1705,222,0.0
q07,fixed_retrieval,completed,0.5,0.5,0.40816326530612246,0.40816326530612246,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,True,True,0.0,0.0,False,1.0,8,6,720,875.4192010001134,0.014789999113418162,2,1,0,-0.122,255,0.0
q08,fixed_retrieval,completed,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,8,6,722,1016.2105760009581,0.014451999959419481,2,1,1,-0.2290000000000001,235,0.0
q09,fixed_retrieval,completed,1.0,1.0,1.0,1.0,0.2,0.2,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,1080,9060.483534000014,0.012858998161391355,2,1,1,-0.267,211,0.0
q10,fixed_retrieval,completed,1.0,1.0,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,4,1162,9806.588387999,0.014256000213208608,2,1,1,-0.1875,250,0.0
q11,fixed_retrieval,completed,1.0,1.0,0.7254901960784313,0.7254901960784313,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,8,6,669,720.0151229990297,0.01207899913424626,2,1,1,-0.17100000000000004,231,0.0
q12,fixed_retrieval,completed,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,8,6,723,1430.0558400009322,0.015752000763313845,2,1,0,-0.15599999999999997,233,0.0
q13,fixed_retrieval,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,1001,6654.955144998894,0.014913000995875336,2,1,1,-0.23299999999999998,259,0.0
q14,fixed_retrieval,completed,1.0,1.0,0.546875,0.546875,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,8,6,669,1010.3237200000876,0.013779001164948568,2,1,1,-0.119,226,0.0
q15,fixed_retrieval,completed,1.0,1.0,0.15384615384615385,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,8,6,679,644.2106300000887,0.012088998118997552,2,1,0,-0.16699999999999998,240,0.0
q16,fixed_retrieval,completed,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,713,1176.9401180008572,0.012070000593666919,2,1,0,-0.189,234,0.0
q17,fixed_retrieval,completed,0.0,0.0,0.2413793103448276,0.2413793103448276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,8,6,962,5481.497352999213,0.01219200021296274,2,1,0,-0.2,246,0.0
q18,fixed_retrieval,completed,1.0,1.0,0.6666666666666666,0.9743589743589743,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,676,1048.6216680001235,0.01063899981090799,2,1,1,-0.35600000000000004,229,0.0
q19,fixed_retrieval,completed,1.0,1.0,0.851063829787234,0.8723404255319149,0.75,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,806,2818.1886070015025,0.012935999620822258,2,1,0,-0.125,243,0.0
q20,fixed_retrieval,completed,0.0,1.0,0.0,0.896551724137931,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,862,4225.768647998848,0.00894499862624798,2,1,0,-0.11400000000000005,226,0.0
q21,fixed_retrieval,completed,1.0,1.0,0.9629629629629629,0.9629629629629629,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,1092,8365.931426000316,0.0129449981614016,2,1,0,-0.07700000000000004,255,0.0
q22,fixed_retrieval,completed,1.0,1.0,0.8529411764705882,0.9117647058823529,0.16666666666666666,0.16666666666666666,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,1196,11541.821566999715,0.014367000403581187,2,1,0,-0.0875,273,0.0
q23,fixed_retrieval,completed,1.0,1.0,0.88,0.88,0.2,0.2,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,1112,10321.771786000681,0.01001499913400039,2,1,1,0.875,244,0.0
q24,fixed_retrieval,completed,1.0,1.0,0.775,0.775,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,977,7898.451601000488,0.011027001164620742,2,1,0,-0.10499999999999998,215,0.0
q25,fixed_retrieval,completed,0.3333333333333333,1.0,0.23333333333333334,0.9333333333333333,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,4,820,3742.7790359997744,0.013046999811194837,2,1,1,0.13499999999999995,234,0.0
q26,fixed_retrieval,completed,0.3333333333333333,0.3333333333333333,0.37142857142857144,0.37142857142857144,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,True,False,False,1.0,1.0,False,1.0,8,4,747,2035.9657859989966,0.014493001799564809,2,1,1,-0.07849999999999996,223,0.0
q27,fixed_retrieval,completed,1.0,1.0,0.675,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,727,1472.813196000061,0.011066000297432765,2,1,1,-0.18149999999999997,238,0.0
q28,fixed_retrieval,completed,1.0,1.0,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,789,1954.8211910005193,0.014477000149781816,2,1,1,-0.11149999999999996,241,0.0
q29,fixed_retrieval,completed,1.0,1.0,0.9523809523809523,0.9523809523809523,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,1271,12712.442299000031,0.013603001207229681,2,1,1,-0.09100000000000003,254,0.0
q30,fixed_retrieval,completed,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.6571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,8,6,888,4251.19769199955,0.010797999493661337,2,1,0,-0.15599999999999997,278,0.0
q31,fixed_retrieval,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,8,6,1071,9492.578746001527,0.009966001016437076,2,1,0,-0.1,242,0.0
q32,fixed_retrieval,completed,1.0,1.0,0.6842105263157895,0.7368421052631579,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,838,4180.712585999572,0.008913999408832751,2,1,1,-0.1535,243,0.0
q33,fixed_retrieval,completed,1.0,1.0,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,0.0,0.0,False,1.0,8,6,947,6352.292380999643,0.008860000889399089,2,1,0,-0.122,253,0.0
q34,fixed_retrieval,completed,1.0,1.0,0.64,0.64,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,991,6229.049182999006,0.009213001249008812,2,1,0,-0.07150000000000001,263,0.0
q35,fixed_retrieval,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,996,7350.7884179998655,0.011030999303329736,2,1,0,-0.07150000000000001,221,0.0
q36,fixed_retrieval,completed,0.0,1.0,0.0,0.9642857142857143,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,791,1851.2132209998526,0.010256000678054988,2,1,0,-0.20800000000000002,267,0.0
q37,fixed_retrieval,completed,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,989,6675.868972999524,0.012896000043838285,2,1,0,-0.08349999999999999,262,0.0
q38,fixed_retrieval,completed,1.0,1.0,0.5277777777777778,0.5277777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,8,6,876,5041.953234000175,0.013048000255366787,2,1,0,-0.11400000000000005,255,0.0
q39,fixed_retrieval,completed,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,1189,10474.167542999567,0.010471998393768445,2,1,1,-0.22899999999999998,277,0.0
q40,fixed_retrieval,completed,0.0,0.0,0.08823529411764706,0.08823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,8,6,715,1513.7145740009146,0.008892000550986268,2,1,0,-0.22200000000000003,236,0.0
q41,fixed_retrieval,completed,1.0,1.0,0.5952380952380952,0.5952380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,8,6,978,6865.643396999076,0.012757998774759471,2,1,1,-0.11499999999999996,269,0.0
q42,fixed_retrieval,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,4,779,1544.2949860007502,0.009600998964742757,2,1,1,-0.17099999999999999,273,0.0
q43,fixed_retrieval,completed,0.0,1.0,0.25,0.9642857142857143,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,731,1731.6392389984685,0.011017000360880047,2,1,1,0.13749999999999998,243,0.0
q44,fixed_retrieval,completed,1.0,1.0,0.5,0.6153846153846154,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,True,True,0.0,0.0,True,1.0,8,6,670,940.8401010005036,0.012255002729943953,2,1,1,-0.13900000000000004,224,0.0
q45,fixed_retrieval,completed,1.0,1.0,0.9433962264150944,0.9433962264150944,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,8,6,1139,9299.895420999746,0.008934001016314141,2,1,1,-0.16949999999999998,254,0.0
q46,fixed_retrieval,completed,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,8,6,751,1868.3798909987672,0.011070000255131163,2,1,0,0.0,235,0.0
q47,fixed_retrieval,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,8,6,640,502.9795270002069,0.013389000741881318,2,1,0,0.0,206,0.0
q48,fixed_retrieval,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,8,6,671,522.1380040002259,0.012220998542034067,2,1,0,-0.021000000000000005,234,0.0
q49,fixed_retrieval,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,8,6,818,2523.090578999472,0.012104999768780544,2,1,0,-0.03749999999999998,247,0.0
q50,fixed_retrieval,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,False,False,False,0.0,0.0,True,1.0,8,6,1164,9817.788226999255,0.012695998520939611,2,1,0,-0.036000000000000004,232,0.0
q01,agentic,completed,1.0,1.0,0.925,0.925,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,6,3,757,1472.477755,0.005588000931311399,1,0,0,0,259,0.0
q02,agentic,completed,0.0,1.0,0.0196078431372549,0.8627450980392157,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,6,3,724,1172.6245179997932,0.005227999281487428,1,0,0,0,234,0.0
